experience_level,employment_type,job_title,employee_residence,company_location,company_size,remote_ratio,salary_in_usd
MI,FT,Data Scientist,DE,DE,L,0,79833.0
SE,FT,Machine Learning Scientist,JP,JP,S,0,260000.0
SE,FT,Big Data Engineer,GB,GB,M,50,109024.0
MI,FT,Product Data Analyst,HN,HN,S,0,20000.0
SE,FT,Machine Learning Engineer,US,US,L,50,150000.0
EN,FT,Data Analyst,US,US,L,100,72000.0
SE,FT,Lead Data Scientist,US,US,S,100,190000.0
MI,FT,Data Scientist,HU,HU,L,50,35735.0
MI,FT,Business Data Analyst,US,US,L,100,135000.0
SE,FT,Lead Data Engineer,NZ,NZ,S,50,125000.0
EN,FT,Data Scientist,FR,FR,S,0,51321.0
MI,FT,Data Scientist,IN,IN,L,0,40481.0
EN,FT,Data Scientist,FR,FR,M,0,39916.0
MI,FT,Lead Data Analyst,US,US,L,100,87000.0
MI,FT,Data Analyst,US,US,L,100,85000.0
MI,FT,Data Analyst,PK,PK,L,50,8000.0
EN,FT,Data Engineer,JP,JP,S,100,41689.0
SE,FT,Big Data Engineer,PL,GB,S,100,114047.0
EN,FT,Data Science Consultant,IN,IN,M,50,5707.0
MI,FT,Lead Data Engineer,PT,US,M,100,56000.0
MI,FT,Machine Learning Engineer,CN,CN,M,0,43331.0
MI,FT,Product Data Analyst,IN,IN,L,100,6072.0
SE,FT,Data Engineer,GR,GR,L,50,47899.0
MI,FT,BI Data Analyst,US,US,M,0,98000.0
MI,FT,Lead Data Scientist,AE,AE,L,0,115000.0
EX,FT,Director of Data Science,US,US,L,100,325000.0
EN,FT,Research Scientist,NL,NL,L,50,42000.0
SE,FT,Data Engineer,MX,MX,S,0,33511.0
EN,CT,Business Data Analyst,US,US,L,100,100000.0
SE,FT,Machine Learning Manager,CA,CA,L,50,117104.0
MI,FT,Data Engineering Manager,DE,DE,S,100,59303.0
EN,FT,Big Data Engineer,US,US,L,100,70000.0
SE,FT,Data Scientist,GR,US,L,100,68428.0
MI,FT,Research Scientist,US,US,M,0,450000.0
MI,FT,Data Analyst,FR,FR,L,50,46759.0
MI,FT,Data Engineer,AT,AT,L,50,74130.0
MI,FT,Data Science Consultant,US,US,L,100,103000.0
EN,FT,Machine Learning Engineer,US,US,L,50,250000.0
EN,FT,Data Analyst,NG,NG,S,100,10000.0
EN,FT,Machine Learning Engineer,US,US,S,100,138000.0
MI,FT,Data Scientist,PH,US,S,100,45760.0
EX,FT,Data Engineering Manager,ES,ES,L,50,79833.0
MI,FT,Machine Learning Infrastructure Engineer,PT,PT,M,0,50180.0
MI,FT,Data Engineer,US,US,L,100,106000.0
MI,FT,Data Engineer,GB,GB,L,50,112872.0
EN,PT,ML Engineer,DE,DE,S,100,15966.0
MI,FT,Data Scientist,GB,GB,S,100,76958.0
SE,FT,Data Engineer,US,US,L,100,188000.0
MI,FT,Data Scientist,US,US,L,100,105000.0
MI,FT,Data Engineer,FR,FR,L,50,70139.0
EN,FT,Data Analyst,IN,IN,S,0,6072.0
EN,FT,Data Analyst,US,US,L,100,91000.0
EN,FT,AI Scientist,DK,DK,S,50,45896.0
EN,FT,Data Engineer,PK,DE,L,100,54742.0
SE,FL,Computer Vision Engineer,RU,US,S,100,60000.0
SE,FT,Principal Data Scientist,DE,DE,M,100,148261.0
MI,FT,Data Scientist,ES,ES,M,100,38776.0
MI,FT,Data Scientist,US,US,M,100,118000.0
SE,FT,Data Scientist,US,US,L,50,120000.0
MI,FT,Data Scientist,US,US,M,100,138350.0
MI,FT,Data Engineer,US,US,L,100,110000.0
MI,FT,Data Engineer,ES,US,M,100,130800.0
EN,PT,Data Scientist,IT,IT,S,50,21669.0
SE,FT,Data Scientist,US,US,L,100,412000.0
SE,FT,Machine Learning Engineer,HR,HR,S,100,45618.0
EN,FT,Data Scientist,DE,DE,S,50,62726.0
EN,FT,Data Scientist,DE,DE,S,0,49268.0
SE,FT,Data Science Manager,US,US,M,100,190200.0
EN,FT,Data Scientist,US,US,S,100,105000.0
SE,FT,Data Scientist,AT,AT,S,0,91237.0
MI,FT,Data Scientist,FR,LU,S,50,62726.0
MI,FT,Data Scientist,FR,FR,S,50,42197.0
EN,FT,Research Scientist,GB,GB,L,50,82528.0
EX,FT,BI Data Analyst,IN,US,L,100,150000.0
EX,FT,Head of Data,US,US,L,100,235000.0
SE,FT,Data Scientist,FR,FR,L,50,53192.0
MI,FT,BI Data Analyst,US,US,M,100,100000.0
MI,PT,3D Computer Vision Researcher,IN,IN,M,50,5409.0
MI,CT,ML Engineer,US,US,L,100,270000.0
EN,FT,Data Analyst,US,US,M,100,80000.0
SE,FT,Data Analytics Engineer,DE,DE,L,100,79197.0
MI,FT,Data Engineer,US,US,L,100,140000.0
MI,FT,Applied Data Scientist,GB,CA,L,50,54238.0
MI,FT,Machine Learning Engineer,ES,ES,S,100,47282.0
EX,FT,Director of Data Science,IT,PL,L,100,153667.0
MI,FT,Data Engineer,PL,PL,L,100,28476.0
EN,FT,Data Analyst,FR,FR,M,50,59102.0
MI,FT,Data Analytics Engineer,US,US,L,100,110000.0
SE,FT,Lead Data Analyst,US,US,L,100,170000.0
SE,FT,Data Analyst,BG,US,S,100,80000.0
SE,FT,Marketing Data Analyst,GR,DK,L,100,88654.0
EN,FT,Data Science Consultant,DE,DE,S,100,76833.0
MI,FT,Lead Data Analyst,IN,IN,L,100,19609.0
SE,FT,Lead Data Engineer,US,US,L,0,276000.0
EN,FT,Data Scientist,IN,IN,L,50,29751.0
MI,FT,Cloud Data Engineer,SG,SG,L,50,89294.0
EN,PT,AI Scientist,BR,US,S,100,12000.0
MI,FT,Financial Data Analyst,US,US,L,100,450000.0
EN,FT,Computer Vision Software Engineer,US,US,M,100,70000.0
MI,FT,Computer Vision Software Engineer,DE,US,S,100,95746.0
MI,FT,Data Analyst,US,US,L,0,75000.0
SE,FT,Data Engineer,US,US,L,100,150000.0
MI,FT,BI Data Analyst,HU,US,L,50,36259.0
MI,FT,Data Analyst,US,US,L,0,62000.0
MI,FT,Data Scientist,US,US,L,0,73000.0
MI,FT,Data Analyst,GB,GB,L,50,51519.0
MI,FT,Research Scientist,CA,CA,L,100,187442.0
SE,FT,Data Engineer,US,US,S,100,115000.0
SE,FT,Data Engineer,US,US,M,100,150000.0
EN,FT,Data Engineer,IN,IN,L,100,30428.0
SE,FT,Machine Learning Engineer,DE,DE,L,50,94564.0
SE,FT,Director of Data Engineering,GB,GB,M,100,113476.0
SE,FT,Lead Data Engineer,GB,GB,S,100,103160.0
EN,PT,AI Scientist,PK,US,M,100,12000.0
MI,FT,Data Engineer,NL,NL,L,100,45391.0
EN,FT,Machine Learning Scientist,US,US,L,100,225000.0
MI,FT,Data Scientist,NG,NG,L,100,50000.0
MI,FT,Data Science Engineer,GR,GR,M,100,40189.0
EN,FT,Data Analyst,US,US,S,100,90000.0
MI,FT,Data Engineer,US,US,L,100,200000.0
MI,FT,Big Data Engineer,ES,RO,M,50,60000.0
SE,FT,Principal Data Engineer,US,US,M,100,200000.0
EN,FT,Data Analyst,US,US,M,100,50000.0
EN,FT,Applied Data Scientist,GB,GB,L,0,110037.0
EN,PT,Data Analyst,ES,ES,M,50,10354.0
MI,FT,Principal Data Scientist,US,US,L,100,151000.0
